Pdt,stream,treatment,GPP_L95per,GPP_median,GPP_U95per,ER_L95per,ER_median,ER_U95per,LightPerDay,meanTemp,meanQds,meanDepthM,meanWidthM,pmax,alpha,julian,invKT,monthday,P_R,NEP,doy,Y,Yf,lGPP,lER,invKT.C,streamTreat,meanTemp.StMean,invKT.C.StMean,meanQds.StMean,LightPerDay.StMean,lGPP.StMean,meanTemp.GMean,invKT.C.GMean,meanQds.GMean,LightPerDay.GMean,lGPP.GMean,Tanom.iktCs,Tanom.iktCg,Tanom.Cs,Tanom.Cg,LightPerDayCs,LightPerDayCg,meanQdsCs,meanQdsCg,LightPerDay.l,meanQds.l,LightPerDay.lcs,LightPerDay.lcg,meanQds.lcs,meanQds.lcg,lGPP.cs,lGPP.cg,Qres,DOYres,Tempres,ppdoy180,DD
2015-07-25T04:00:00Z,st18,ambient,2.459070513,4.08488557,5.524771917,-3.636011003,-2.425807586,-1.189844833,1602860130,9.65091475,0.01232457,0.059404784,1.218863222,0.030925164,1.28e-6,206,41.03424531,25-Jul,1.683928104,1.659077984,206,2015,2015,1.407293715679714,0.8861644941035173,0.06328266035868069,st18 ambient,9.68896983422553,0.058654119549595,0.0238931730824515,2714259909.684568,1.1799381931488542,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,0.004628540809085688,0.22793315228094235,-0.03805508422552961,-1.6037818004637625,-1111399779.684568,-1171095379.4312582,-0.0115686030824515,-1.96051270604361e-4,21.195055451620274,-4.396160448100133,-0.5267297084337557,-0.548484668673165,-0.6619979421654216,-0.01578215581155007,0.2273555225308599,-0.4014747635999667,-0.5825691030085476,13.510762604071756,0.11388664334963505,g180,231.930435115
2015-07-26T04:00:00Z,st18,ambient,4.024119158,6.649855497,8.951234098,-4.785306249,-3.160085668,-1.66797088,1944390366,9.896299652,0.013109365,0.061027929,1.221843058,0.066874016,1.35e-6,207,40.99867098,26-Jul,2.104327602,3.489769829,207,2015,2015,1.8945951246572317,1.15059913735793,0.027708330358677813,st18 ambient,9.68896983422553,0.058654119549595,0.0238931730824515,2714259909.684568,1.1799381931488542,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.030945789190917186,0.19235882228093948,0.20732981777447002,-1.3583968984637629,-769869543.6845679,-829565143.4312582,-0.010783808082451501,5.887437293956386e-4,21.388214328381476,-4.334428418687766,-0.33357083167255297,-0.35532579191196234,-0.6002659127530547,0.045949873600816815,0.7146569315083775,0.08582664537755091,-0.46857269252166667,11.802503947679684,0.08663573559205938,g180,241.826734767
2015-07-27T04:00:00Z,st18,ambient,3.235386308,5.324505443,7.261002307,-4.378357177,-2.941513744,-1.486515704,2451040920,10.01869454,0.012470276,0.059807523,1.219416464,0.035171175,1.32e-6,208,40.98094999,27-Jul,1.810124278,2.382991699,208,2015,2015,1.6723198327283897,1.0789243277574887,0.009987340358676988,st18 ambient,9.68896983422553,0.058654119549595,0.0238931730824515,2714259909.684568,1.1799381931488542,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.04866677919091801,0.17463783228093865,0.32972470577447055,-1.2360020104637623,-263218989.68456793,-322914589.4312582,-0.0114228970824515,-5.034527060436035e-5,21.61977863657946,-4.384407386415639,-0.10200652347456796,-0.12376148371397733,-0.650244880480928,-0.004029094127056432,0.4923816395795355,-0.13644864655129108,-0.4925166913723293,11.453412494169923,0.0772381678344857,g180,251.845429307
2015-07-28T04:00:00Z,st18,ambient,4.310470516,6.811933045,9.092675968,-5.140432242,-3.559162717,-1.932489175,2619168660,10.59591092,0.011356559,0.056700881,1.215187726,0.058565321,1.46e-6,209,40.897583590000004,28-Jul,1.913914476,3.252770328,209,2015,2015,1.9186759337738635,1.2695253253480652,-0.07337905964131863,st18 ambient,9.68896983422553,0.058654119549595,0.0238931730824515,2714259909.684568,1.1799381931488542,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.13203317919091362,0.09127143228094303,0.90694108577447,-0.6587856304637629,-95091249.68456793,-154786849.4312582,-0.0125366140824515,-0.0011640622706043605,21.686122799023913,-4.477959816503674,-0.03566236103011633,-0.0574173212695257,-0.7437973105689624,-0.09758152421509081,0.7387377406250093,0.10990745449418271,-0.4635905449584371,6.106763816535962,0.0021951900769173085,g180,262.441340227
2015-07-29T04:00:00Z,st18,ambient,5.412303291,8.50343653,11.60367595,-5.851945231,-4.025319377,-2.178888991,2919299040,10.6943583,0.011383248,0.056747106,1.215289063,0.054419752,2.09e-6,210,40.88339885,29-Jul,2.112487416,4.478117153,210,2015,2015,2.1404703794370574,1.3926042560455962,-0.08756379964132321,st18 ambient,9.68896983422553,0.058654119549595,0.0238931730824515,2714259909.684568,1.1799381931488542,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.1462179191909182,0.07708669228093845,1.0053884657744696,-0.5603382504637633,205039130.31543207,145343530.5687418,-0.0125099250824515,-0.0011373732706043607,21.794609369614317,-4.475612478001223,0.07282420956028801,0.05106924932087864,-0.741449972066512,-0.09523418571264042,0.9605321862882032,0.33170190015737666,-0.44040355447088736,6.026885575858479,-0.0036661276806601267,g180,273.135698527
2015-07-30T04:00:00Z,st18,ambient,3.285391727,5.221682921,7.028660098,-4.780277304,-3.252981923,-1.77802443,2540592540,10.03572091,0.009753787,0.051431643,1.20910207,0.03395952,1.37e-6,211,40.97848604,30-Jul,1.605198874,1.968700998,211,2015,2015,1.652819748594271,1.1795720904514888,0.007523390358677773,st18 ambient,9.68896983422553,0.058654119549595,0.0238931730824515,2714259909.684568,1.1799381931488542,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.051130729190917226,0.17217388228093944,0.3467510757744705,-1.2189756404637624,-173667369.68456793,-233362969.4312582,-0.0141393860824515,-0.002766834270604361,21.655663174235066,-4.630099659127708,-0.06612198581896322,-0.0878769460583726,-0.8959371531929969,-0.24972136683912538,0.4728815554454169,-0.1559487306854097,-0.7345890274124077,14.265833025592032,0.09974448456176796,g180,283.171419437
2015-07-31T04:00:00Z,st18,ambient,2.694905038,4.681820033,6.318686959,-3.346684893,-2.252142319,-1.187640327,4287105540,10.3814928,0.008868007,0.048241926,1.205738799,0.03470173,8.44e-7,212,40.92851202,31-Jul,2.078829563,2.429677714,212,2015,2015,1.5436869302693,0.8118819049946476,-0.042450629641322735,st18 ambient,9.68896983422553,0.058654119549595,0.0238931730824515,2714259909.684568,1.1799381931488542,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.10110474919091773,0.12219986228093893,0.6925229657744705,-0.8732037504637624,1572845630.315432,1513150030.5687418,-0.0150251660824515,-0.0036526142706043603,22.178877642873633,-4.725305197873399,0.45709248281960413,0.43533752258019476,-0.9911426919386876,-0.3449269055848161,0.36374873712044575,-0.26508154901038083,-0.7563747371660923,11.461332076179882,0.05809388680419465,g180,293.552912237
2015-08-01T04:00:00Z,st18,ambient,2.73373717,4.352882131,5.830579536,-3.516570683,-2.407039472,-1.2334022,2774547090,9.80908223,0.009359225,0.049934396,1.207603935,0.037171811,9.8e-7,213,41.01130813,1-Aug,1.808396656,1.945842659,213,2015,2015,1.470838184555955,0.8783975575032017,0.04034548035868113,st18 ambient,9.68896983422553,0.058654119549595,0.0238931730824515,2714259909.684568,1.1799381931488542,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.01830863919091387,0.2049959722809428,0.12011239577446986,-1.445614320463763,60287180.31543207,591580.5687417984,-0.0145339480824515,-0.0031613962706043604,21.743753360013663,-4.671392791065974,0.02196819995963395,2.1323972022457838e-4,-0.9372302851312622,-0.2910144987773906,0.2908999914071009,-0.3379302947237257,-0.824103059629667,18.764564817965404,0.1492134190466258,g180,303.361994467
2015-08-02T04:00:00Z,st18,ambient,2.309933352,3.671736626,4.929663703,-3.854138609,-2.647294454,-1.466681185,2758049370,10.63143031,0.006942805,0.040635765,1.19842889,0.035261097,7.03e-7,214,40.89246466,2-Aug,1.38697704,1.024442172,214,2015,2015,1.3006647452403532,0.9735381577079741,-0.07849798964132049,st18 ambient,9.68896983422553,0.058654119549595,0.0238931730824515,2714259909.684568,1.1799381931488542,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.13715210919091547,0.08615250228094118,0.942460475774471,-0.6232662404637619,43789460.31543207,-15906139.431258202,-0.0169503680824515,-0.005577816270604361,21.737789516809954,-4.97004940744727,0.01600435675592493,-0.00575060348348444,-1.2358869015125586,-0.5896711151586871,0.12072655209149907,-0.5081037340393275,-0.9481596089317759,10.717061846492705,0.038693371289051245,g180,313.993424777
2015-08-03T04:00:00Z,st18,ambient,2.306703459,3.69645294,4.964201221,-3.414961945,-2.301528748,-1.2156099,2946317670,10.9416053,0.005275115,0.03368073,1.19209674,0.02797966,1.14e-6,215,40.84781773,3-Aug,1.60608593,1.394924192,215,2015,2015,1.3073736949722576,0.8335735751812882,-0.12314491964131946,st18 ambient,9.68896983422553,0.058654119549595,0.0238931730824515,2714259909.684568,1.1799381931488542,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.18179903919091445,0.041505572280942205,1.2526354657744712,-0.31309125046376174,232057760.31543207,172362160.5687418,-0.0186180580824515,-0.007245506270604361,21.80382198013074,-5.244754798909777,0.0820368200767092,0.060281859837299834,-1.5105922929750655,-0.8643765066211939,0.12743550182340346,-0.5013947843074231,-1.1572715187088396,8.318109999646444,0.0023698635314795004,g180,324.935030077
2015-08-04T04:00:00Z,st18,ambient,1.875952894,2.844633762,3.761159837,-2.697303099,-1.815868365,-0.935090247,2755802250,10.66830579,0.004344613,0.029352546,1.188563663,0.02432452,9.11e-7,216,40.88715165,4-Aug,1.566541835,1.028765396,216,2015,2015,1.0454343288876067,0.5965637913183675,-0.08381099964132233,st18 ambient,9.68896983422553,0.058654119549595,0.0238931730824515,2714259909.684568,1.1799381931488542,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.1424651191909173,0.08083949228093934,0.9793359557744701,-0.5863907604637628,41542340.31543207,-18153259.4312582,-0.0195485600824515,-0.00817600827060436,21.736974434983573,-5.438818592125694,0.015189274929543473,-0.0065656853098658985,-1.7046560861909823,-1.0584402998371107,-0.1345038642612475,-0.7633341503920741,-1.409123132075807,12.31258464835569,0.050027205773903696,g180,335.603335867
