Pdt,stream,treatment,GPP_L95per,GPP_median,GPP_U95per,ER_L95per,ER_median,ER_U95per,LightPerDay,meanTemp,meanQds,meanDepthM,meanWidthM,pmax,alpha,julian,invKT,monthday,P_R,NEP,doy,Y,Yf,lGPP,lER,invKT.C,streamTreat,meanTemp.StMean,invKT.C.StMean,meanQds.StMean,LightPerDay.StMean,lGPP.StMean,meanTemp.GMean,invKT.C.GMean,meanQds.GMean,LightPerDay.GMean,lGPP.GMean,Tanom.iktCs,Tanom.iktCg,Tanom.Cs,Tanom.Cg,LightPerDayCs,LightPerDayCg,meanQdsCs,meanQdsCg,LightPerDay.l,meanQds.l,LightPerDay.lcs,LightPerDay.lcg,meanQds.lcs,meanQds.lcg,lGPP.cs,lGPP.cg,ppdoy180,DD,Qres,DOYres,Tempres,ERgamPred,ERgamPred.se,GPPgamPred,GPPgamPred.se
2015-07-05T04:00:00Z,st6,ambient,9.198386503,14.37512213,19.32096143,-9.506806601,-6.363660305,-3.058347129,1773508927,14.44888893,0.019989149,0.058980216,1.32,0.104858401,3.38e-6,186,40.34967643,5-Jul,2.258939265,8.011461825,186,2015,2015,2.6654990826473233,1.8506037314581971,-0.6212862196413198,st6 ambient,14.609854819651819,-0.6434550937862273,0.016272295016470387,2743803732.82305,2.610678484749291,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,0.022168874144907535,-0.45663572771905814,-0.16096588965181802,3.194192379536238,-970294805.82305,-1000446582.4312582,0.0037168539835296145,0.00746852772939564,21.29622586571476,-3.912565702661654,-0.4363851525980671,-0.44731425457867857,0.2057256068645712,0.46781258962692895,0.054820597898032286,0.8567306033676425,g180,58.07050825,0.21260509282471501,-12.575184694696073,0.02873355662660519,1.770677616075308,0.2958421114575138,2.482342814018336,0.18663176776444212
2015-07-06T04:00:00Z,st6,ambient,10.80565396,16.72524996,22.32833704,-9.191555515,-6.319265741,-3.118530291,2701236354,14.65662709,0.018836579,0.058735159,1.32,0.120095332,2.9e-6,187,40.32055213,6-Jul,2.646707805,10.40598422,187,2015,2015,2.816919551194092,1.8436030211878023,-0.6504105196413192,st6 ambient,14.609854819651819,-0.6434550937862273,0.016272295016470387,2743803732.82305,2.610678484749291,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.006955425855091901,-0.4857600277190576,0.04677227034818188,3.401930539536238,-42567378.82305002,-72719155.4312582,0.0025642839835296125,0.006315957729395638,21.716975414037304,-3.971954608062857,-0.015635604275523463,-0.02656470625613494,0.14633670146336808,0.40842368422572584,0.2062410664448011,1.0081510719144113,g180,72.72713534,0.22297177477321897,-12.730244996501005,0.003780902459247785,1.730887469236994,0.29196951917999436,2.543547184009697,0.18254919566280625
2015-07-07T04:00:00Z,st6,ambient,11.03783837,16.51169871,22.01306112,-8.386191719,-5.706217312,-2.908144243,3764833346,14.87424506,0.016674808,0.057891017,1.32,0.115724127,2.77e-6,188,40.29008776,7-Jul,2.893632998,10.8054814,188,2015,2015,2.8040691424030277,1.7415563368890932,-0.6808748896413235,st6 ambient,14.609854819651819,-0.6434550937862273,0.016272295016470387,2743803732.82305,2.610678484749291,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.03741979585509614,-0.5162243977190618,0.26439024034818104,3.619548509536237,1021029613.17695,990877836.5687418,4.025129835296126e-4,0.004154186729395638,22.048969433207965,-4.093856201489618,0.31635841489513794,0.30542931291452646,0.024435108036607645,0.2865220907989654,0.19339065765373675,0.995300663123347,g180,87.6013804,0.17403536926819588,-12.938452040327084,-0.022511821708154446,1.6049071018989467,0.28851509684673704,2.459691996072256,0.178464935735476
2015-07-08T04:00:00Z,st6,ambient,11.36840172,17.70368824,23.07033728,-10.0901911,-6.834236804,-3.26052756,4411255915,14.80036504,0.016819815,0.058005256,1.32,0.126576241,2.69e-6,189,40.30042507,8-Jul,2.590441149,10.86945144,189,2015,2015,2.873772993013942,1.9219448039561031,-0.6705375796413193,st6 ambient,14.609854819651819,-0.6434550937862273,0.016272295016470387,2743803732.82305,2.610678484749291,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.027082485855091987,-0.5058870877190577,0.1905102203481821,3.5456684895362383,1667452182.17695,1637300405.5687418,5.475199835296117e-4,0.004299193729395637,22.207425273842624,-4.085197623308762,0.4748142555297967,0.46388515354918525,0.033093686217463336,0.2951806689798211,0.263094508264651,1.0650045137342612,g180,102.40174544,0.15793506463757434,-11.528477674987602,-0.008002865875519148,1.643613139507484,0.28542351553758183,2.486094202635001,0.17711265490329148
2015-07-09T04:00:00Z,st6,ambient,10.81259853,17.42761746,23.11118276,-9.256829778,-6.353987077,-3.053197073,5489771718,14.75517677,0.016060868,0.05754047,1.32,0.108626101,2.86e-6,190,40.30675044,9-Jul,2.74278453,11.07363038,190,2015,2015,2.8580561582782398,1.849082502008303,-0.6642122096413203,st6 ambient,14.609854819651819,-0.6434550937862273,0.016272295016470387,2743803732.82305,2.610678484749291,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.02075711585509299,-0.49956171771905866,0.14532195034818152,3.5004802195362377,2745967985.17695,2715816208.568742,-2.114270164703877e-4,0.003540246729395638,22.426152510182554,-4.131369524601485,0.6935414918697269,0.6826123898891154,-0.013078215075259969,0.2490087676870978,0.2473776735289488,1.049287678998559,g180,117.15692221,0.0966132747791473,-10.277615550190541,0.0024941499571119216,1.607864786484261,0.2826721459177704,2.455335810843135,0.17608394946748215
2015-07-10T04:00:00Z,st6,ambient,9.755441616,14.9110864,19.66050664,-10.64272427,-7.157053597,-4.0150878,3384441902,14.65166109,0.015227547,0.056892185,1.32,0.116353515,2.99e-6,191,40.32124786,10-Jul,2.083411309,7.754032803,191,2015,2015,2.702104989971971,1.9680983874806903,-0.6497147896413225,st6 ambient,14.609854819651819,-0.6434550937862273,0.016272295016470387,2743803732.82305,2.610678484749291,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.006259695855095115,-0.4850642977190608,0.04180627034818052,3.3969645395362367,640638169.17695,610486392.5687418,-0.0010447480164703874,0.0027069257293956383,21.942454855862216,-4.184649188737301,0.20984383754938918,0.1989147355687777,-0.0663578792110755,0.19572910355128226,0.09142650522267992,0.8933365106922901,g180,131.8085833,0.008610851739074887,-8.70265257011578,0.021163215789739977,1.558959567922047,0.28046195002632957,2.350971365359088,0.1731311734973017
2015-07-11T04:00:00Z,st6,ambient,10.26048044,15.58803096,20.77557361,-10.43890454,-7.077466615,-3.658323895,2197284614,14.51468467,0.01574466,0.057392203,1.32,0.12536035,3.55e-6,192,40.3404475,11-Jul,2.202487388,8.510564345,192,2015,2015,2.7465033736176774,1.9569160209316832,-0.6305151496413188,st6 ambient,14.609854819651819,-0.6434550937862273,0.016272295016470387,2743803732.82305,2.610678484749291,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,0.01293994414490851,-0.46586465771905716,-0.09517014965181936,3.259988119536237,-546519118.82305,-576670895.4312582,-5.276350164703861e-4,0.0032240387293956396,21.51048816861297,-4.1512540188191815,-0.22212284969985774,-0.23305195168046922,-0.032962709292956305,0.22912427346940145,0.1358248888683864,0.9377348943379966,g180,146.32326797,-0.003979020561955995,-6.941201068347446,0.04453450162237488,1.628411496896926,0.27819751129461223,2.3384812182140244,0.17253629577056775
2015-07-12T04:00:00Z,st6,ambient,11.60969109,17.38279443,23.02294683,-11.92134729,-8.303136424,-4.260517403,2855001536,14.86968188,0.016346438,0.05777268,1.32,0.130839814,3.52e-6,193,40.29072609,12-Jul,2.093521477,9.079658006,193,2015,2015,2.855480891147599,2.1166333258326144,-0.6802365596413225,st6 ambient,14.609854819651819,-0.6434550937862273,0.016272295016470387,2743803732.82305,2.610678484749291,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.03678146585509512,-0.5155860677190608,0.25982706034818115,3.6149853295362373,111197803.17694998,81046026.5687418,7.414298352961465e-5,0.0038258167293956404,21.772338218057744,-4.113745264700882,0.039727199744916675,0.028798097764305197,0.004546044825342932,0.2666330275877007,0.24480240639830786,1.046712411867918,g180,161.19294985,0.1526174423907487,-7.913136079344252,-0.0010152625449977707,1.7313640480385677,0.27507478706523275,2.5093192229479944,0.17106250861533037
2015-07-13T04:00:00Z,st6,ambient,6.657417556,10.34566894,13.73204028,-10.13996156,-6.959209521,-3.700296309,1105184515,14.826702,0.013931841,0.055613489,1.32,0.10651166,4.56e-6,194,40.29673939,13-Jul,1.486615528,3.386459419,194,2015,2015,2.336567972229218,1.940065893327283,-0.6742232596413231,st6 ambient,14.609854819651819,-0.6434550937862273,0.016272295016470387,2743803732.82305,2.610678484749291,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,-0.030768165855095786,-0.5095727677190615,0.2168471803481804,3.5720054495362366,-1638619217.82305,-1668770994.4312582,-0.0023404540164703863,0.0014112197293956394,20.823278139876653,-4.273578339118872,-0.9093328784361745,-0.920261980416786,-0.15528702959264695,0.1067999531697108,-0.2741105125200729,0.5277994929495373,g180,176.01965185,-0.021618081988611926,-6.674650549637333,0.00916968328763271,1.5380470854323653,0.2735937622927174,2.0127013280556363,0.17001590024902932
2015-07-14T04:00:00Z,st6,ambient,7.678367765,12.25383621,16.24242772,-10.56666295,-7.244653722,-3.782527284,1208941994,14.56578746,0.014538531,0.05627872,1.32,0.118139446,4.72e-6,195,40.33328241,14-Jul,1.691431596,5.009182488,195,2015,2015,2.505839047966378,1.9802637791852724,-0.6376802396413197,st6 ambient,14.609854819651819,-0.6434550937862273,0.016272295016470387,2743803732.82305,2.610678484749291,11.254696550463763,-0.16465049192226167,0.012520621270604361,2773955509.431258,1.8087684792796808,0.005774854144907637,-0.47302974771905804,-0.044067359651819515,3.3110909095362366,-1534861738.82305,-1565013515.4312582,-0.0017337640164703863,0.0020179097293956394,20.913011428933437,-4.2309528436176675,-0.8195995893793899,-0.8305286913600014,-0.1126615340914423,0.14942544867091545,-0.10483943678291308,0.6970705686866971,g180,190.58543931,-0.06651674410260652,-4.225366216277559,0.049884349120267145,1.6133112782616137,0.2722778802468355,2.085950926995574,0.16934417553407594
